iter	Passed	Remaining
0	0	46
1	0	41
2	1	40
3	1	37
4	1	36
5	2	36
6	2	35
7	3	35
8	3	35
9	3	35
10	4	34
11	4	33
12	4	33
13	5	32
14	5	32
15	6	32
16	6	31
17	6	31
18	7	30
19	7	30
20	7	30
21	8	29
22	8	29
23	9	28
24	9	28
25	9	28
26	10	27
27	10	27
28	11	26
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	24
36	13	23
37	14	23
38	14	22
39	15	22
40	15	22
41	15	21
42	15	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	27	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	35	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
